area_name,crime_description,unsolved_count
Central,"BURGLARY FROM VEHICLE",9695
"77th Street","VEHICLE - STOLEN",8766
Newton,"VEHICLE - STOLEN",8281
Southeast,"VEHICLE - STOLEN",7242
Central,"BATTERY - SIMPLE ASSAULT",6806
Southwest,"VEHICLE - STOLEN",6649
Pacific,"VEHICLE - STOLEN",6521
Hollenbeck,"VEHICLE - STOLEN",6213
Harbor,"VEHICLE - STOLEN",6137
Mission,"VEHICLE - STOLEN",6050
"77th Street","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",5921
Olympic,"VEHICLE - STOLEN",5731
Rampart,"VEHICLE - STOLEN",5441
Northeast,"VEHICLE - STOLEN",5348
"N Hollywood","VEHICLE - STOLEN",5106
Central,"VEHICLE - STOLEN",5051
Pacific,"THEFT PLAIN - PETTY ($950 & UNDER)",5020
Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",4870
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",4810
"77th Street","BATTERY - SIMPLE ASSAULT",4707
"Van Nuys","VEHICLE - STOLEN",4683
Foothill,"VEHICLE - STOLEN",4539
Southwest,"BATTERY - SIMPLE ASSAULT",4528
Hollywood,"BATTERY - SIMPLE ASSAULT",4482
Pacific,BURGLARY,4434
Olympic,"BATTERY - SIMPLE ASSAULT",4382
"77th Street","THEFT OF IDENTITY",4381
"West LA",BURGLARY,4378
Hollywood,"BURGLARY FROM VEHICLE",4334
Central,"THEFT PLAIN - PETTY ($950 & UNDER)",4333
"West Valley","VEHICLE - STOLEN",4300
Wilshire,"VEHICLE - STOLEN",4221
Newton,"BATTERY - SIMPLE ASSAULT",4157
Rampart,"BATTERY - SIMPLE ASSAULT",4135
"77th Street","INTIMATE PARTNER - SIMPLE ASSAULT",4060
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",4048
Hollywood,"VEHICLE - STOLEN",3995
Pacific,"BURGLARY FROM VEHICLE",3978
Devonshire,"VEHICLE - STOLEN",3959
Hollywood,"THEFT PLAIN - PETTY ($950 & UNDER)",3947
Southeast,"BATTERY - SIMPLE ASSAULT",3939
Southeast,"THEFT OF IDENTITY",3856
"77th Street",ROBBERY,3808
Southwest,"THEFT OF IDENTITY",3794
Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",3771
"N Hollywood",BURGLARY,3725
Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",3724
Wilshire,BURGLARY,3706
Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",3636
"N Hollywood","BURGLARY FROM VEHICLE",3614
"West Valley",BURGLARY,3558
Devonshire,BURGLARY,3552
Devonshire,"THEFT OF IDENTITY",3537
Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3521
Wilshire,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",3506
"West LA","VEHICLE - STOLEN",3494
"West LA","BURGLARY FROM VEHICLE",3487
"West LA","THEFT OF IDENTITY",3460
Topanga,"VEHICLE - STOLEN",3457
Olympic,"BURGLARY FROM VEHICLE",3446
"N Hollywood","BATTERY - SIMPLE ASSAULT",3433
"77th Street","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3399
Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3396
"N Hollywood","THEFT OF IDENTITY",3394
Southeast,"INTIMATE PARTNER - SIMPLE ASSAULT",3385
Wilshire,"BURGLARY FROM VEHICLE",3365
Pacific,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",3354
Pacific,"BATTERY - SIMPLE ASSAULT",3337
"N Hollywood","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3318
Central,TRESPASSING,3316
Topanga,"THEFT OF IDENTITY",3312
"West LA","THEFT PLAIN - PETTY ($950 & UNDER)",3300
"Van Nuys","THEFT OF IDENTITY",3299
"West Valley","THEFT OF IDENTITY",3297
Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3289
Wilshire,"THEFT PLAIN - PETTY ($950 & UNDER)",3272
Northeast,"BURGLARY FROM VEHICLE",3222
Topanga,BURGLARY,3183
"Van Nuys",BURGLARY,3182
Wilshire,"BATTERY - SIMPLE ASSAULT",3164
Harbor,"BATTERY - SIMPLE ASSAULT",3157
Topanga,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",3137
Southwest,"THEFT PLAIN - PETTY ($950 & UNDER)",3125
Olympic,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3119
Mission,"THEFT OF IDENTITY",3104
Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",3100
Olympic,BURGLARY,3099
Hollenbeck,"BATTERY - SIMPLE ASSAULT",3091
Olympic,"THEFT PLAIN - PETTY ($950 & UNDER)",3066
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",3005
"West LA","SHOPLIFTING - PETTY THEFT ($950 & UNDER)",3001
Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2980
Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2963
"West LA","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2897
Southwest,"INTIMATE PARTNER - SIMPLE ASSAULT",2897
Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2881
"Van Nuys","BATTERY - SIMPLE ASSAULT",2850
Pacific,"THEFT OF IDENTITY",2849
Rampart,"BURGLARY FROM VEHICLE",2845
Newton,"BURGLARY FROM VEHICLE",2838
"West LA","BATTERY - SIMPLE ASSAULT",2831
"N Hollywood","THEFT PLAIN - PETTY ($950 & UNDER)",2818
Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2817
Northeast,"THEFT PLAIN - PETTY ($950 & UNDER)",2796
"Van Nuys","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2781
Topanga,"BATTERY - SIMPLE ASSAULT",2765
"Van Nuys","BURGLARY FROM VEHICLE",2764
Harbor,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2759
"West Valley","BURGLARY FROM VEHICLE",2756
"West Valley","BATTERY - SIMPLE ASSAULT",2749
Hollywood,"THEFT OF IDENTITY",2740
Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2739
Olympic,"INTIMATE PARTNER - SIMPLE ASSAULT",2707
"N Hollywood","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2702
Devonshire,"BATTERY - SIMPLE ASSAULT",2687
Northeast,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",2684
Olympic,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2674
Central,ROBBERY,2668
Rampart,"THEFT OF IDENTITY",2666
Foothill,"THEFT OF IDENTITY",2648
Wilshire,"THEFT OF IDENTITY",2647
Pacific,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2645
Southeast,ROBBERY,2639
Newton,"INTIMATE PARTNER - SIMPLE ASSAULT",2623
Hollywood,BURGLARY,2620
Mission,"INTIMATE PARTNER - SIMPLE ASSAULT",2610
Mission,"BATTERY - SIMPLE ASSAULT",2606
Northeast,"BATTERY - SIMPLE ASSAULT",2593
Newton,"THEFT OF IDENTITY",2593
Southeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2585
Devonshire,"BURGLARY FROM VEHICLE",2572
Northeast,BURGLARY,2562
Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2524
Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2505
Topanga,"BURGLARY FROM VEHICLE",2492
Olympic,"THEFT OF IDENTITY",2460
"West Valley","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2456
Newton,BURGLARY,2454
Central,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",2453
Northeast,"THEFT OF IDENTITY",2450
Foothill,"BATTERY - SIMPLE ASSAULT",2418
Central,BURGLARY,2401
Rampart,"INTIMATE PARTNER - SIMPLE ASSAULT",2400
Harbor,"INTIMATE PARTNER - SIMPLE ASSAULT",2394
Rampart,"THEFT PLAIN - PETTY ($950 & UNDER)",2389
"N Hollywood","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",2369
Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2342
Harbor,BURGLARY,2340
Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2335
Mission,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2305
Newton,ROBBERY,2287
Devonshire,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2279
"N Hollywood","INTIMATE PARTNER - SIMPLE ASSAULT",2257
Central,"INTIMATE PARTNER - SIMPLE ASSAULT",2223
"Van Nuys","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2200
Southwest,"BURGLARY FROM VEHICLE",2177
"West LA","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2172
"77th Street",BURGLARY,2170
Topanga,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2168
Topanga,"THEFT PLAIN - PETTY ($950 & UNDER)",2159
"West LA","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",2156
Olympic,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2156
Devonshire,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",2152
"West Valley","INTIMATE PARTNER - SIMPLE ASSAULT",2135
"Van Nuys","THEFT PLAIN - PETTY ($950 & UNDER)",2119
Southwest,BURGLARY,2118
Southwest,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2112
Devonshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2109
Northeast,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2089
Hollywood,"INTIMATE PARTNER - SIMPLE ASSAULT",2086
Mission,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2082
Hollenbeck,"THEFT OF IDENTITY",2074
"Van Nuys","INTIMATE PARTNER - SIMPLE ASSAULT",2061
"West Valley","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",2060
Rampart,ROBBERY,2058
"West Valley","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",2051
Hollywood,ROBBERY,2040
Wilshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2030
Pacific,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2023
"N Hollywood","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2023
Southwest,ROBBERY,2019
"77th Street","THEFT PLAIN - PETTY ($950 & UNDER)",2009
Foothill,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2007
Devonshire,"THEFT PLAIN - PETTY ($950 & UNDER)",2005
Devonshire,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",2005
Central,"THEFT OF IDENTITY",1989
Mission,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1985
Harbor,"THEFT OF IDENTITY",1984
"N Hollywood","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1973
Rampart,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1971
Southeast,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1964
Wilshire,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",1962
"Van Nuys","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",1949
"Van Nuys","SHOPLIFTING - PETTY THEFT ($950 & UNDER)",1948
Topanga,"INTIMATE PARTNER - SIMPLE ASSAULT",1948
Foothill,BURGLARY,1946
Devonshire,"INTIMATE PARTNER - SIMPLE ASSAULT",1937
"West Valley","THEFT PLAIN - PETTY ($950 & UNDER)",1899
"77th Street","BURGLARY FROM VEHICLE",1890
"77th Street","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1878
Foothill,"INTIMATE PARTNER - SIMPLE ASSAULT",1874
Mission,"BURGLARY FROM VEHICLE",1865
Rampart,BURGLARY,1846
Olympic,ROBBERY,1842
Wilshire,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1840
"N Hollywood","SHOPLIFTING - PETTY THEFT ($950 & UNDER)",1824
"West LA","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1812
"West Valley","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1784
Newton,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1753
Southeast,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",1751
Topanga,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1742
Foothill,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1741
"77th Street","VANDALISM - MISDEAMEANOR ($399 OR UNDER)",1741
Harbor,"BURGLARY FROM VEHICLE",1732
Hollywood,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1723
Newton,"THEFT PLAIN - PETTY ($950 & UNDER)",1705
Hollenbeck,"INTIMATE PARTNER - SIMPLE ASSAULT",1697
Central,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",1686
Foothill,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1685
Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1683
Hollenbeck,BURGLARY,1679
Mission,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",1668
Hollenbeck,"THEFT PLAIN - PETTY ($950 & UNDER)",1667
Southwest,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",1667
Hollenbeck,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1665
Harbor,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",1657
Harbor,"THEFT PLAIN - PETTY ($950 & UNDER)",1650
Northeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1637
Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1635
"Van Nuys","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1628
Olympic,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",1627
"77th Street","INTIMATE PARTNER - AGGRAVATED ASSAULT",1606
Newton,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1606
Olympic,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1598
Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1595
"77th Street","CRIMINAL THREATS - NO WEAPON DISPLAYED",1592
Southwest,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",1592
Southeast,"THEFT PLAIN - PETTY ($950 & UNDER)",1578
Topanga,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",1573
